Nome;Idade;Peso (kg);Altura (m)
Vitor Hugo Moreira;16/04/1960;75.6;1.63
Igor Teixeira;23/10/1993;140.45;1.55
Emanuelly Oliveira;03/11/1963;61.73;1.91
Jo∆o Gabriel da Rocha;11/09/1981;142.42;1.72
Daniela Carvalho;13/06/1941;148.25;1.99
Calebe Cavalcanti;23/08/1987;92.19;1.68
Ot†vio Ribeiro;25/01/1939;87.99;1.91
Enzo Mendes;09/08/1965;118.11;1.81
Olivia Viana;20/11/1950;139.61;1.87
Gabriela Pires;24/02/1979;59.88;2.05
Helo°sa Costela;14/03/1991;100.7;1.92
Bruno Jesus;18/11/1929;149.74;1.88
Luiza Monteiro;29/07/1911;88.24;1.61
Danilo das Neves;09/01/1902;126.95;1.93
Danilo Martins;17/06/1989;109.84;1.55
Isis Gonáalves;25/10/1932;100.61;2.05
Heitor Costa;04/08/2013;46.48;1.57
Jo∆o Freitas;26/11/1917;44.12;1.76
Rebeca Costa;15/08/1981;57.7;1.82
Leandro Azevedo;28/12/1998;117.99;1.52
Lorenzo Santos;01/08/2020;140.81;1.74
Isis da Mota;04/08/1953;45.01;1.9
Pedro Henrique Rezende;07/04/1949;102.94;1.88
Enzo Jesus;04/07/1900;123.14;2.09
Raquel Peixoto;14/05/1952;95.7;1.79
Alice Barbosa;23/04/1932;67.3;1.81
Noah Ferreira;02/09/1975;83.56;1.42
Gabriel Lopes;13/09/1998;127.87;1.95
Pedro Lucas Jesus;22/12/1926;131.38;1.97
Sra. La°s Moura;13/10/1971;64.48;1.87
Nat†lia Fogaáa;21/02/2023;97.64;1.65
Francisco Nogueira;21/07/1997;101.94;1.43
Maysa Monteiro;28/10/2017;142.55;2.08
Alana Gonáalves;13/09/2012;129.3;1.59
Valentina Fogaáa;15/12/1957;83.99;2
Alexandre da Mata;02/11/1950;70.67;1.79
Nicolas Martins;27/02/2013;114.2;1.68
Jo∆o Pedro Santos;21/12/1937;142.39;1.44
Benjamin Caldeira;05/12/1935;106.5;1.73
Arthur Cardoso;06/07/1921;146.49;1.8
Sabrina Jesus;07/04/2018;86.95;2.02
Thomas da Rosa;18/07/2017;71.19;1.87
Paulo Costela;04/09/1937;119.62;1.48
Ot†vio Azevedo;26/08/1960;96.94;2.03
Eduardo Cavalcanti;02/04/2009;97.12;2
Srta. Maria Luiza Moura;01/12/1905;59.39;1.61
Vitor Hugo Farias;20/08/1930;88.07;1.54
Isadora Campos;03/09/1948;104.77;1.8
Ana J£lia Moraes;04/03/1933;42.82;1.94
Vitor Hugo Peixoto;13/03/1975;117.11;2.04
Raquel da Mota;06/07/2017;138.53;1.69
Alana da Mata;18/02/1936;131.49;1.85
Nicole Novaes;21/07/2022;83.78;1.94
Daniel Fernandes;28/09/1924;143.36;1.92
Kaique Farias;22/11/1971;143.53;1.67
Ana Sophia Melo;06/11/1959;41.75;1.64
Jo∆o Lucas Mendes;09/02/1989;146.07;1.49
Nina Gonáalves;23/03/1963;147.14;1.91
Danilo Fogaáa;13/07/1987;90.76;1.68
Sabrina Carvalho;13/08/1924;142.08;1.76
Jo∆o Felipe da Conceiá∆o;20/02/1968;87.8;1.64
Ana Carolina Mendes;18/11/2014;64.89;1.66
Paulo Souza;06/12/1957;68.71;1.79
Jo∆o Vitor Monteiro;17/09/1906;124.74;1.69
Yasmin Fogaáa;10/07/2000;83.29;1.46
Maria Luiza Lopes;20/09/2021;55.24;1.9
Ana Vit¢ria Moura;13/06/1949;71.65;1.73
Vitor Hugo da Costa;17/08/1958;145.19;2.08
Dra. Juliana Campos;17/07/2004;141.41;1.9
Isabelly da Cunha;12/08/1972;66.42;1.96
Sofia Viana;16/11/1964;81.76;1.98
Isabelly da Mota;18/10/2004;66.94;1.82
Levi Duarte;15/11/1993;59.57;1.58
Let°cia Peixoto;03/09/1908;44.41;1.5
Dra. Maria Cec°lia Sales;16/08/1913;122.6;1.65
Enrico da Cunha;08/12/1908;61.68;1.81
Carlos Eduardo da Mata;12/02/2024;103.79;1.61
Heitor Cardoso;18/02/1922;83.86;1.48
Marcela Oliveira;23/11/1922;88.83;1.84
Joaquim Cavalcanti;01/03/1973;70.51;2.09
Vitor Hugo Ara£jo;27/10/1999;40.41;1.77
Elisa Dias;22/07/1904;68.47;1.4
Ana Rocha;24/08/1972;68.57;1.78
Bryan Rodrigues;21/02/1918;138.76;1.6
Sarah Freitas;07/09/1999;52.36;2.09
Henrique Rodrigues;27/08/1935;95.29;1.75
Maità Almeida;28/03/1990;70.79;1.93
Diego Pinto;24/10/1906;148.28;1.8
Pietra das Neves;30/01/1966;49.05;1.76
Augusto Rodrigues;20/06/2004;121.58;1.75
Vinicius Ferreira;08/07/1926;101.49;1.93
Theo Nogueira;14/01/1931;96.56;1.86
Elisa Silva;24/01/1923;66.4;1.46
Jo∆o Miguel Ribeiro;15/12/1983;132.28;1.93
Isabelly Mendes;08/02/1986;87.15;1.54
Sra. Caroline Nogueira;13/10/1943;116.48;1.71
Sabrina Alves;21/11/1911;146.89;1.97
Luigi Peixoto;01/09/2017;132.89;1.67
Mariane Peixoto;04/08/1973;117.75;2.01
Melissa Costela;28/07/1923;115.78;1.64
Kevin Lima;22/11/2022;148.84;2.06
Caio Lopes;20/05/1985;95.67;1.46
Maria Eduarda Moreira;11/08/2011;145.67;1.55
Pedro Rodrigues;18/02/1907;134.79;1.49
Srta. Caroline Sales;30/09/1953;74.35;1.9
Pietra da Rosa;29/02/1908;57.12;1.56
Dra. Catarina Pereira;17/06/1951;117.35;1.69
Gustavo Henrique Costela;13/02/1979;149.1;1.94
Carolina Teixeira;16/02/1989;140.39;1.45
Juan Azevedo;22/10/1935;95.52;1.69
Emanuelly Gonáalves;13/05/2010;74.86;1.66
Luigi da Mata;01/04/1905;108.91;1.5
Alice Costela;08/06/1922;140.91;1.43
Bernardo Correia;24/02/1931;43.81;1.48
Daniela Sales;19/07/1913;116.83;1.55
Jo∆o Felipe da Cruz;19/11/1921;85.67;1.75
Bryan Pereira;01/07/1908;67.07;1.43
Maria Clara Arag∆o;24/05/2008;140.05;1.51
Vitor Gabriel da Costa;10/08/2002;114.28;1.7
Srta. Joana da Conceiá∆o;27/08/2022;58.99;1.65
Maria Luiza da Rosa;17/01/2009;108.42;2.02
Alexia Lopes;07/08/1921;106.55;1.76
Lorena Pinto;20/09/1965;80.45;1.63
Pedro Nunes;30/05/1954;90.16;1.58
Sra. Melissa Cavalcanti;17/05/1922;78.36;1.69
Lucas Gabriel Duarte;12/06/2001;149.39;1.45
Sra. Larissa Correia;25/09/1919;103.91;1.65
Davi Lucas Novaes;05/10/1907;121.64;1.95
Kevin Pires;17/12/1968;90.87;2.01
Benjamin Costela;15/10/1924;40.32;1.65
Maria Eduarda Martins;30/08/1995;137.6;1.77
Jo∆o Lucas da Paz;08/01/1910;142.66;1.48
Anthony Souza;24/01/1956;47.91;1.92
Isadora Moraes;17/08/2016;69.3;1.67
Ana Sophia da Cunha;10/10/1912;41.07;1.65
Luana Cardoso;24/06/1937;97.06;1.92
Thiago Vieira;28/05/2023;41.14;1.55
Nicole Costela;18/11/1945;111.94;2.06
Maria Barbosa;28/09/1923;127.59;1.98
Dra. Maria Julia Moura;09/03/1959;63.13;1.57
Lorenzo Ramos;07/07/1938;40.67;1.74
Igor Barros;15/04/1911;50.6;1.79
Sra. B†rbara Ferreira;23/06/2006;54.25;1.62
Arthur Arag∆o;17/04/2016;126.61;1.84
Erick da Mata;10/10/1958;41.53;1.93
Joaquim Santos;15/09/1933;50.41;1.95
Alexandre Lopes;24/12/1907;90.07;1.82
Luiz Henrique Rodrigues;28/11/1988;93.05;1.61
Leandro Moraes;01/04/1987;88.05;1.54
Larissa da Rocha;04/01/1936;81.43;2
Amanda Alves;17/02/2015;75.57;2.03
Sophia Santos;26/02/2010;102.67;1.94
Thiago Lima;11/09/1940;85.2;1.84
Jo∆o Miguel Souza;28/05/1906;67.97;1.42
Kevin Lopes;20/04/1948;117.25;1.48
Bryan Barbosa;22/06/1930;93.9;1.45
Ana Luiza Caldeira;04/06/1913;104.78;1.66
Ana Carolina Dias;12/06/1957;100.53;1.53
Mariana Santos;08/10/1969;79.37;1.49
Francisco Moraes;23/03/1940;46.96;2.06
Maysa Moraes;25/04/1978;44.8;1.63
Sra. Melissa Azevedo;10/03/1955;49.11;1.58
Francisco Martins;20/06/1977;43.52;2.07
Eduarda Alves;15/12/1975;68.3;1.48
Sophia Freitas;15/01/2003;103.29;1.92
Dra. Maria Cec°lia da Costa;22/05/2017;61.59;2.04
Beatriz Nascimento;04/10/1918;144.79;1.52
Pedro Henrique Cavalcanti;23/01/1929;127.85;1.41
Sofia Alves;07/06/1908;80.94;1.5
Yasmin da Mata;03/12/2009;124.05;1.44
Caroline Nogueira;16/03/2017;57.49;1.9
Yago da Luz;18/02/1985;116.87;1.92
Thiago Costela;20/06/1923;139.05;1.82
Lucas Gabriel Melo;03/10/1927;144.96;1.82
Caio Jesus;05/09/1955;97.45;1.59
Kamilly Ramos;11/11/1946;128.05;1.94
Rafael Jesus;25/02/1974;127.71;1.66
Jo∆o Felipe Peixoto;30/08/1904;130.78;2.02
Lara Ferreira;04/05/1914;142.64;1.59
Theo Peixoto;27/01/2016;50.34;2.02
Ana Julia Melo;22/02/1988;54.49;2.07
Dra. Maria Eduarda Gonáalves;15/08/1934;143.16;2.07
Dra. Sabrina Duarte;26/07/2008;138.52;1.68
Sra. Camila Ferreira;24/01/1994;46.15;1.93
Bianca Castro;31/03/2013;89.7;1.58
Thales Castro;20/02/2020;92.54;1.98
Sra. Agatha Dias;07/09/2020;116.91;1.94
Alice da Costa;03/08/2006;129;1.72
Dra. Laura da Mata;05/10/2024;82.43;1.4
Luiz Miguel Caldeira;03/11/2016;47.13;1.8
Gabriela Cardoso;09/06/1979;92.39;1.95
Sabrina Porto;11/07/1934;129.71;1.79
Leonardo Novaes;23/11/1926;63.48;1.91
Maria Clara Cavalcanti;23/11/1905;66.36;1.42
Matheus Barbosa;02/11/1963;92.22;1.69
Srta. Bruna Fernandes;09/08/1934;136.88;1.93
Sophia Lima;14/11/1953;45.06;1.43
Leonardo Fernandes;29/04/1994;50.6;2.03
Maria Fernanda Duarte;29/03/1954;43.15;1.92
Jo∆o Gabriel Cardoso;24/08/1979;141.88;1.8
Jo∆o Duarte;09/08/1920;64.77;1.43
Maria Julia Melo;18/12/2017;45;1.45
Gabrielly Teixeira;04/05/1915;149.34;2.04
Nina Cavalcanti;09/02/1916;146.76;1.47
Isabel da Rosa;26/08/1907;129.43;1.96
Arthur Costa;28/10/1906;41.45;1.89
Kaique Carvalho;16/01/1931;103.34;1.73
Cauà Santos;18/05/2012;64.79;1.61
Eduardo Castro;18/11/1985;135.89;1.89
Mariane Duarte;16/07/1945;75.76;1.85
Sarah Castro;16/06/2011;70.87;1.83
Heitor Ferreira;22/12/1925;100.36;1.52
Maria Luiza Nogueira;20/11/1983;57.91;1.86
Cec°lia Peixoto;06/06/1976;80.18;2.08
Luigi Rodrigues;28/12/2005;148.15;1.85
Gustavo Henrique Novaes;10/03/1962;98.2;1.63
Carolina Lopes;09/08/1949;144.23;1.99
Mirella Pires;30/12/1999;101.79;1.96
Let°cia Cardoso;25/12/1924;140.39;1.55
Luiza Monteiro;31/08/1966;137.93;2.08
Joaquim Almeida;30/11/2023;88.65;1.72
Isadora Fogaáa;01/08/2006;121.49;1.77
Erick Fernandes;01/03/1922;94.47;1.81
Sophia Arag∆o;30/05/1991;105.91;1.58
Davi Luiz Silveira;21/12/1939;96.83;1.61
Renan Costela;22/04/2010;138.29;1.89
Sra. Nicole da Cunha;29/04/1972;121.49;2.09
Jo∆o Vitor das Neves;18/03/2024;83.4;1.52
Bianca Souza;15/09/1935;139.42;1.76
Sra. Ana Clara Rodrigues;03/11/1992;127.22;1.58
Agatha Arag∆o;01/01/1903;136.06;1.9
Alana da Cunha;18/04/2012;124.26;1.87
Enrico das Neves;18/09/1998;66.34;1.72
Isaac Gomes;21/05/1986;71.44;1.8
Davi Lucca Alves;01/06/2013;122.06;1.65
Noah da Paz;03/11/1917;126.09;1.6
Dra. Isabel Viana;21/08/1957;40.98;1.89
Sarah da Luz;17/04/1964;109.68;2.02
Daniela Azevedo;10/04/1914;43.03;2.0
Vitor Gabriel Teixeira;28/07/1971;47.44;2.0
Ana Beatriz Mendes;20/09/1904;137.43;1.7
Emanuel Lopes;17/02/1900;89.27;1.78
Ana das Neves;25/10/1905;99.71;1.53
Jo∆o Guilherme Barbosa;30/07/1939;63.18;1.8
Emilly Rezende;06/02/1958;86.51;1.77
Eduarda Alves;05/11/1937;144.13;2.03
Bruna Almeida;19/01/1978;100.64;2.06
Noah Sales;04/06/1902;104.02;1.58
Giovanna Oliveira;04/08/1930;45.06;1.82
Kamilly Pereira;23/05/1933;47.69;2.06
Jo∆o Miguel Melo;06/04/1966;59.24;1.71
Srta. Maria Vit¢ria da Rosa;21/11/1912;56.28;1.74
Clara Rodrigues;20/08/1995;101.18;1.98
Let°cia Costa;02/01/1936;70.14;1.48
Raquel das Neves;09/12/1918;114.09;1.65
Brenda Pires;21/11/1919;103.7;1.76
Raul Cardoso;05/04/1944;57.12;1.82
Marcos Vinicius Freitas;05/10/1973;47.85;1.53
Ana L°via das Neves;25/02/1948;133.73;1.85
Emanuelly Farias;04/04/1940;135.76;1.4
Cec°lia da Cruz;19/10/1954;114.39;1.96
Luana Lopes;30/12/1975;54.17;1.47
Luiz Felipe Silva;01/07/1908;87.2;1.96
Olivia da Mota;13/05/1904;70.55;1.69
Sophie da Paz;01/01/1913;126.87;1.8
Bryan Campos;17/12/2004;111.52;1.9
